"","acousticness","danceability","duration","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"whatever it is",0.422272,0.647482,208.34667,0.581968,2.2e-05,1,0.106207,-6.662,1,0.028178,83.893,4,0.721571
"square one",0.006476,0.444989,287.6342,0.678578,0.001733,0,0.163368,-6.888,0,0.031948,124.224,4,0.065861
"sic 'em on a chicken",0.061576,0.771936,231.87955,0.934103,0.000129,5,0.074648,-5.488,0,0.037201,113.049,4,0.73981
"high speed",0.410687,0.533472,256.51039,0.522398,0.008576,7,0.095877,-9.371,0,0.028718,77.278,4,0.2448
"6 god",0.011506,0.881455,144.71837,0.708047,0.0,2,0.274979,-6.518,1,0.184815,105.428,4,0.515497
"star67",0.747083,0.477637,294.97333,0.395349,5e-06,3,0.263781,-7.917,1,0.213122,74.515,3,0.190911
"contact",0.002974,0.280927,383.62621,0.785838,0.728973,11,0.069195,-8.437,0,0.055575,123.603,4,0.087815
"til kingdom come",0.586272,0.607582,250.66766,0.395842,0.015986,0,0.330055,-9.601,1,0.028321,115.067,4,0.263415
"jungle",0.618238,0.689605,320.4,0.235213,0.000144,7,0.107109,-8.651,1,0.054141,99.906,4,0.38589
"every teardrop is a waterfall",0.002282,0.299836,243.61333,0.753832,0.078268,9,0.1124,-8.232,1,0.043105,118.622,4,0.300138
"u.f.o",0.715585,0.306889,137.81941,0.389806,0.017358,7,0.336825,-11.834,1,0.036056,116.741,4,0.211651
"talk",0.002412,0.418408,265.58621,0.714372,0.001565,7,0.265054,-5.713,0,0.03305,120.336,4,0.192571
